date,z_ret_1,z_ret_2,z_ret_5,z_vol_20,z_ma_10,z_ma_20,z_ma_gap,z_rsi_14,z_vol_z,z_dow,z_pca_1,z_pca_2,z_pca_3,z_pca_4,z_pca_5,z_pca_6,z_pca_7,z_pca_8,z_pca_9,z_pca_10,z_pca_11,z_pca_12,z_has_news,z_pca_1_large,z_pca_2_large,z_pca_3_large,z_pca_4_large,z_pca_5_large,z_pca_6_large,z_pca_7_large,z_pca_8_large,z_pca_9_large,z_pca_10_large,z_pca_11_large,z_pca_12_large,z_pca_13_large,z_pca_14_large,z_has_news_large,target_h1,target_h5,target_h20,Symbol
2016-08-15,0.19749714124037798,0.17634042200089803,-0.01815389567951994,-0.8923037944581,1.1888968134476783,1.1930894365675373,0.20261036379973663,0.5502289062279007,-0.7779143070001839,-1.4448209975349442,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0051714326855858,-0.0025594876520287,-0.0271111714610174,SPY
2016-08-16,-0.4322377765057491,0.07547511923479529,0.118064221267012,-0.8630402220225188,1.19333403765862,1.1947279412750724,-0.009927418285928432,0.1288929738670697,-0.690798797369089,-0.7295068690893529,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0018796671972118,0.0046234353320437,-0.0223153280443613,SPY
2016-08-17,0.11927821846273723,-0.1724644253427216,-0.1079649398510039,-0.8746587479797127,1.1973664206885861,1.1959128737226659,0.050342974976760185,0.1757460712326525,-0.2694560313072871,-0.014192740643761682,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002241416811735,-0.0023839393139413,-0.0142513134539132,SPY
2016-08-18,0.1475731939842116,-0.23009657544653533,0.06281452442926673,-0.8891132628898106,1.201877540845539,1.1983105996450618,0.11301843893247408,0.21537340162774737,-0.6855973177736285,0.7011213878018295,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0014632877920641,-0.0053143002561464,-0.0203659682702515,SPY
2016-08-19,-0.14219774666199145,0.19711146701286195,-0.03078739558367742,-0.9019129040608889,1.202540347245743,1.1995141006284977,0.04591537920681864,0.1582279482960125,-0.24819129611317065,1.416435516247421,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.585118332567362e-05,-0.0057363064756099,-0.0187149693751296,SPY
2016-08-22,-0.03133008423101096,0.004454478966000249,-0.054068196584142005,-0.9116805594975158,1.2034241545362738,1.2012544773564147,0.027738943749734183,0.812902212748565,-0.5248852338262046,-1.4448209975349442,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0020114902984866,-0.0007780019893717,-0.0186225686400458,SPY
2016-08-23,0.12958902813326442,-0.12736248063948388,-0.16871729362264246,-0.9091776969825103,1.204878684522705,1.2033095981679662,0.08488627118489953,0.7651210272576984,-0.6748131275448419,-0.7295068690893529,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0051277074487732,-0.0044396451151396,-0.0094513879512403,SPY
2016-08-24,-0.42881771894213877,0.07289157100172779,0.11277428025454153,-0.8802496322889526,1.2052654360807746,1.2045409108379497,-0.12147707444268742,0.14381256376446055,-0.30626340594002416,-0.014192740643761682,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.00068894413047,-0.0021598712539638,0.0019581030668076,SPY
2016-08-25,-0.0816308958060695,-0.21997959385957286,-0.16183772967780816,-0.880150093344718,1.2035163036641658,1.2054018396043167,-0.15564435524963105,-0.6073673440494309,-0.3546758943318227,0.7011213878018295,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0018852940115277,-0.0014251602899744,-0.0028473622517104,SPY
2016-08-26,-0.17520581403856836,-0.37560764304653005,-0.27667564670387595,-0.8783479812653042,1.201361970236831,1.205559236316466,-0.22840098953701518,-0.721673497318898,0.661109112140936,1.416435516247421,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0049124533029125,0.004958177455939,-0.0090970743930736,SPY
